Experiment,Litter,Genotype1,Channel,Marker,ab.2
040318FVB_F,F,wt,CH1,DNA,Hoechst
040318FVB_F,F,wt,CH2,CDX2.m,af488.m
040318FVB_F,F,wt,CH3,NANOG.rb,af647.rb
040318FVB_F,F,wt,CH4,BF,NA
040318FVB_F,F,wt,CH5,GATA6.gt,af568.gt
040318FVB_G,G,wt,CH1,DNA,Hoechst
040318FVB_G,G,wt,CH2,CDX2.m,af488.m
040318FVB_G,G,wt,CH3,NANOG.rb,af647.rb
040318FVB_G,G,wt,CH4,BF,NA
040318FVB_G,G,wt,CH5,GATA6.gt,af568.gt
040518FVB_H,H,wt,CH1,DNA,Hoechst
040518FVB_H,H,wt,CH2,CDX2.m,af488.m
040518FVB_H,H,wt,CH3,NANOG.rb,af647.rb
040518FVB_H,H,wt,CH4,BF,NA
040518FVB_H,H,wt,CH5,GATA6.gt,af568.gt
040818FVB_I,I,wt,CH1,DNA,Hoechst
040818FVB_I,I,wt,CH2,CDX2.m,af488.m
040818FVB_I,I,wt,CH3,NANOG.rb,af647.rb
040818FVB_I,I,wt,CH4,BF,NA
040818FVB_I,I,wt,CH5,GATA6.gt,af568.gt
042018FVB_J,J,wt,CH1,DNA,Hoechst
042018FVB_J,J,wt,CH2,CDX2.m,af488.m
042018FVB_J,J,wt,CH3,NANOG.rb,af647.rb
042018FVB_J,J,wt,CH4,BF,NA
042018FVB_J,J,wt,CH5,GATA6.gt,af568.gt
042018FVB_K,K,wt,CH1,DNA,Hoechst
042018FVB_K,K,wt,CH2,CDX2.m,af488.m
042018FVB_K,K,wt,CH3,NANOG.rb,af647.rb
042018FVB_K,K,wt,CH4,BF,NA
042018FVB_K,K,wt,CH5,GATA6.gt,af568.gt
042018FVB_L,L,wt,CH1,DNA,Hoechst
042018FVB_L,L,wt,CH2,CDX2.m,af488.m
042018FVB_L,L,wt,CH3,NANOG.rb,af647.rb
042018FVB_L,L,wt,CH4,BF,NA
042018FVB_L,L,wt,CH5,GATA6.gt,af568.gt
041018FVB_M,M,wt,CH1,DNA,Hoechst
041018FVB_M,M,wt,CH2,CDX2.m,af488.m
041018FVB_M,M,wt,CH3,NANOG.rb,af647.rb
041018FVB_M,M,wt,CH4,BF,NA
041018FVB_M,M,wt,CH5,GATA6.gt,af568.gt
